0-Pagina WT,1-Titolo italiano,2-Titolo tedesco,3-DataTrek ID,4-Stag. P18,5-Numero di produzione P1,6-Sequenza di trasmissione P153,7-Data di pubblicazione originale,8-Data P95,9-Serie,10-Istanza P14,11-P178,12-Titolo Wikidata,13-Wikidata ID,14-enMAPage,15-deMAPage,16-itMAPage,17-Produzione Wikidata,18-CheckProduzione
Blaze of Glory,Momento di gloria,Glanz des Ruhms,Q1264,5,521,121,25 maggio 1997,1997-05-25,Star Trek: Deep Space Nine,Q11337,23,Blaze of Glory,Q4925626,Blaze of Glory (episode),Glanz des Ruhms,,521,
Empok Nor,Empok Nor,Empok Nor,Q2859,5,522,122,1 giugno 1997,1997-06-01,Star Trek: Deep Space Nine,Q11337,24,Empok Nor,Q5374391,Empok Nor (episode),Empok Nor (Episode),,522,
In the Cards,Nelle carte,Die Karte,Q3924,5,523,123,8 giugno 1997,1997-06-08,Star Trek: Deep Space Nine,Q11337,25,In the Cards,Q6011950,In the Cards (episode),Die Karte,,525,KO
Call to Arms,Chiamata alle armi,An die Waffen,Q1531,5,524,124,15 giugno 1997,1997-06-15,Star Trek: Deep Space Nine,Q11337,26,Call to Arms,Q5021681,Call to Arms (episode),Zu den Waffen!,,524,
A Time to Stand,Il momento di resistere,Zeit des Widerstands,Q160,6,525,125,29 settembre 1997,1997-09-29,Star Trek: Deep Space Nine,Q11337,1,A Time to Stand,Q4660181,A Time to Stand (episode),Zeit des Widerstands,,525,
Rocks and Shoals,Rocce e scogli,Entscheidungen,Q7801,6,527,126,6 ottobre 1997,1997-10-06,Star Trek: Deep Space Nine,Q11337,2,Rocks and Shoals,Q7355570,Rocks and Shoals (episode),Entscheidungen (DS9),,527,
Sons and Daughters,Figli,Söhne und Töchter,Q8353,6,526,127,13 ottobre 1997,1997-10-13,Star Trek: Deep Space Nine,Q11337,3,Sons and Daughters,Q7562276,Sons and Daughters (episode),Söhne und Töchter,,526,
Behind the Lines,Dietro le linee,Hinter der Linie,Q1147,6,528,128,18 ottobre 1997,1997-10-18,Star Trek: Deep Space Nine,Q11337,4,Behind the Lines,Q4880854,Behind the Lines (episode),Hinter der Linie,,527,KO
Favor the Bold,Aiuta gli audaci,Ein kühner Plan,Q3089,6,529,129,25 ottobre 1997,1997-10-25,Star Trek: Deep Space Nine,Q11337,5,Favor the Bold,Q16744188,Favor the Bold (episode),Ein kühner Plan,,527,KO
Sacrifice of Angels,Il sacrificio degli angeli,Sieg oder Niederlage,Q7948,6,530,130,1 novembre 1997,1997-11-01,Star Trek: Deep Space Nine,Q11337,6,Sacrifice of Angels,Q7397363,Sacrifice of Angels (episode),Sieg oder Niederlage,,530,
You are Cordially Invited...,Siete cordialmente invitati,Klingonische Tradition,Q10180,6,531,131,8 novembre 1997,1997-11-08,Star Trek: Deep Space Nine,Q11337,7,You are Cordially Invited,Q8057703,You Are Cordially Invited (episode),Klingonische Tradition,,531,
Resurrection,Resurrezione,Erkenntnis,Q7564,6,532,132,15 novembre 1997,1997-11-15,Star Trek: Deep Space Nine,Q11337,8,Resurrection,Q7316518,Resurrection (episode),Erkenntnis,,532,
Statistical Probabilities,Probabilità statistiche,Statistische Wahrscheinlichkeiten,Q8554,6,533,133,22 novembre 1997,1997-11-22,Star Trek: Deep Space Nine,Q11337,9,Statistical Probabilities,Q7604375,Statistical Probabilities (episode),Statistische Wahrscheinlichkeiten,,533,
The Magnificent Ferengi,I magnifici Ferengi,Der glorreiche Ferengi,Q9175,6,534,134,27 dicembre 1997,1997-12-27,Star Trek: Deep Space Nine,Q11337,10,The Magnificent Ferengi,Q7749576,The Magnificent Ferengi (episode),Der glorreiche Ferengi,,534,
Waltz,Valzer,Das Gute und das Böse,Q9978,6,535,135,3 gennaio 1998,1998-01-03,Star Trek: Deep Space Nine,Q11337,11,Waltz,Q7966822,Waltz (episode),Das Gute und das Böse,,535,
Who Mourns for Morn?,Chi piange per Morn?,Wer trauert um Morn?,Q10034,6,536,136,31 gennaio 1998,1998-01-31,Star Trek: Deep Space Nine,Q11337,12,Who Mourns for Morn?,Q7997343,Who Mourns for Morn? (episode),Wer trauert um Morn?,,536,
Far Beyond the Stars,"Lontano, oltre le stelle",Jenseits der Sterne,Q3076,6,538,137,7 febbraio 1998,1998-02-07,Star Trek: Deep Space Nine,Q11337,13,Far Beyond the Stars,Q5434517,Far Beyond the Stars (episode),Jenseits der Sterne,,538,
One Little Ship,Solo una piccola nave,Das winzige Raumschiff,Q6840,6,537,138,14 febbraio 1998,1998-02-14,Star Trek: Deep Space Nine,Q11337,14,One Little Ship,Q7092819,One Little Ship (episode),Das winzige Raumschiff,,537,
Honor Among Thieves,Onore tra i ladri,Ehre unter Dieben,Q3809,6,539,139,21 febbraio 1998,1998-02-21,Star Trek: Deep Space Nine,Q11337,15,Honor Among Thieves,Q5896757,Honor Among Thieves (episode),Ehre unter Dieben,,539,
Change of Heart,Cuori Klingon,Wandel des Herzens,Q1699,6,540,140,2 marzo 1998,1998-03-02,Star Trek: Deep Space Nine,Q11337,16,Change of Heart,Q5071858,Change of Heart (episode),Wandel des Herzens,,540,
Wrongs Darker Than Death or Night,Torti peggiore della morte,Tiefes Unrecht,Q10121,6,541,141,28 marzo 1998,1998-03-28,Star Trek: Deep Space Nine,Q11337,17,Wrongs Darker Than Death or Night,Q8038644,Wrongs Darker Than Death or Night (episode),Tiefes Unrecht,,541,
Inquisition,Inquisizione,Inquisition,Q3963,6,542,142,4 aprile 1998,1998-04-04,Star Trek: Deep Space Nine,Q11337,18,Inquisition,Q6036887,Inquisition (episode),Inquisition (Episode),,542,
In the Pale Moonlight,Alla pallida luce della luna,,Q3927,6,543,143,11 aprile 1998,1998-04-11,Star Trek: Deep Space Nine,Q11337,19,In the Pale Moonlight,Q471896,In the Pale Moonlight (episode),In fahlem Mondlicht,,543,
His Way,A modo suo,Auf seine Art,Q3791,6,544,144,18 aprile 1998,1998-04-18,Star Trek: Deep Space Nine,Q11337,20,His Way,Q16744174,His Way (episode),Auf seine Art,,544,
The Reckoning,Il giudizio,Zeit der Abrechnung,Q9225,6,545,145,25 aprile 1998,1998-04-25,Star Trek: Deep Space Nine,Q11337,21,The Reckoning,Q7759792,The Reckoning (episode),Zeit der Abrechnung (Episode),,545,
Valiant,Valiant,Valiant,Q9775,6,546,146,2 maggio 1998,1998-05-02,Star Trek: Deep Space Nine,Q11337,22,Valiant,Q7911634,Valiant (episode),Valiant (Episode),,546,
Profit and Lace,Profitti e merletti,Die Beraterin,Q7290,6,547,147,9 maggio 1998,1998-05-09,Star Trek: Deep Space Nine,Q11337,23,Profit and Lace,Q7248297,Profit and Lace (episode),Die Beraterin,,547,
Time's Orphan,Orfana del tempo,Das Zeitportal,Q9380,6,548,148,16 maggio 1998,1998-05-16,Star Trek: Deep Space Nine,Q11337,24,Time's Orphan,Q7804777,Time's Orphan (episode),Das Zeitportal (DS9),,548,
The Sound of Her Voice,Il suono della sua voce,Der Klang ihrer Stimme,Q9248,6,549,149,8 giugno 1998,1998-06-08,Star Trek: Deep Space Nine,Q11337,25,The Sound of Her Voice,Q7765426,The Sound of Her Voice (episode),Der Klang ihrer Stimme,,549,
Tears of the Prophets,Le lacrime dei Profeti,Tränen der Propheten,Q8934,6,550,150,15 giugno 1998,1998-06-15,Star Trek: Deep Space Nine,Q11337,26,Tears of the Prophets,Q7691829,Tears of the Prophets (episode),Tränen der Propheten (Episode),,550,
Image in the Sand,Immagini nella sabbia,Das Gesicht im Sand,Q3908,7,551,151,26 settembre 1998,1998-09-26,Star Trek: Deep Space Nine,Q11337,1,Image in the Sand,Q16744156,Image in the Sand (episode),Das Gesicht im Sand,,551,
Shadow and Symbols,Ombre e simboli,Schatten und Symbole,Q8169,7,552,152,5 ottobre 1998,1998-10-05,Star Trek: Deep Space Nine,Q11337,2,Shadows and Symbols,Q7460803,Shadows and Symbols (episode),Schatten und Symbole,,552,
Afterimage,Immagine residua,Nachempfindung,Q216,7,553,153,10 ottobre 1998,1998-10-10,Star Trek: Deep Space Nine,Q11337,3,Afterimage,Q4690723,Afterimage (episode),Nachempfindung,,553,
Take Me Out to the Holosuite,Portami in sala ologrammi,Abenteuer in der Holosuite,Q8815,7,554,154,17 ottobre 1998,1998-10-17,Star Trek: Deep Space Nine,Q11337,4,Take Me Out to the Holosuite,Q7677716,Take Me Out to the Holosuite (episode),Wettkampf in der Holosuite,,554,
Chrysalis,Crisalide,Chrysalis,Q1834,7,555,155,24 ottobre 1998,1998-10-24,Star Trek: Deep Space Nine,Q11337,5,Chrysalis,Q5114390,Chrysalis (episode),Sarina,,555,
"Treachery, Faith, and the Great River","Tradimento, fede e il grande fiume","Verrat, Vertrauen und der große Fluß",Q9600,7,556,156,31 ottobre 1998,1998-10-31,Star Trek: Deep Space Nine,Q11337,6,"Treachery, Faith, and the Great River",Q7836540,"Treachery, Faith and the Great River (episode)","Verrat, Glaube und gewaltiger Fluß",,556,
Once More Unto the Breach,Un altro assalto alla breccia,Bis zum bitteren Ende,Q6834,7,557,157,7 novembre 1998,1998-11-07,Star Trek: Deep Space Nine,Q11337,7,Once More Unto the Breach,Q7091790,Once More Unto the Breach (episode),Der Dahar-Meister,,557,
The Siege of AR-558,L'assedio della AR-558,Die Belagerung von AR-558,Q9245,7,558,158,14 novembre 1998,1998-11-14,Star Trek: Deep Space Nine,Q11337,8,The Siege of AR-558,Q7764119,The Siege of AR-558 (episode),Die Belagerung von AR-558,,558,
Covenant,Il patto,Schwur,Q2052,7,559,159,21 novembre 1998,1998-11-21,Star Trek: Deep Space Nine,Q11337,9,Covenant,Q5178967,Covenant (episode),Entscheidung auf Empok Nor,,559,
It's Only a Paper Moon,It's Only a Paper Moon,Es ist nur ein Papiermond,Q4014,7,560,160,26 dicembre 1998,1998-12-26,Star Trek: Deep Space Nine,Q11337,10,It's Only a Paper Moon,Q6090638,It's Only a Paper Moon (episode),Leben in der Holosuite,,560,
Prodigal Daughter,Figliol prodigo,Die verlorene Tochter,Q7287,7,561,161,4 gennaio 1999,1999-01-04,Star Trek: Deep Space Nine,Q11337,11,Prodigal Daughter,Q7247600,Prodigal Daughter (episode),Die verlorene Tochter,,561,
The Emperor's New Cloak,Il nuovo inganno dell'imperatore,Des Kaisers neuer Mantel,Q9117,7,562,162,1 febbraio 1999,1999-02-01,Star Trek: Deep Space Nine,Q11337,12,The Emperor's New Cloak,Q7731917,The Emperor's New Cloak (episode),Die Tarnvorrichtung,,562,
Field of Fire,Campo di battaglia,Das Feld des Feuers,Q3122,7,563,163,6 febbraio 1999,1999-02-06,Star Trek: Deep Space Nine,Q11337,13,Field of Fire,Q5447098,Field of Fire (episode),Freies Schußfeld,,563,
Chimera,Chimera,Chimäre,Q1763,7,564,164,15 febbraio 1999,1999-02-15,Star Trek: Deep Space Nine,Q11337,14,Chimera,Q5099345,Chimera (episode),Hirngespinst,,564,
Badda-Bing Badda-Bang,Badda-Bing Badda-Bang,Badda-Bing Badda-Bang,Q956,7,566,165,22 febbraio 1999,1999-02-22,Star Trek: Deep Space Nine,Q11337,15,Badda-Bing Badda-Bang,Q4840668,"Badda-Bing, Badda-Bang (episode)","Badda-Bing, Badda-Bang",,566,
Inter Arma Enim Silent Leges,Inter Arma Enim Silent Leges,Inter Arma Enim Silent Leges,Q3969,7,565,166,27 febbraio 1999,1999-02-27,Star Trek: Deep Space Nine,Q11337,16,Inter Arma Enim Silent Leges,Q16744084,Inter Arma Enim Silent Leges (episode),Unter den Waffen schweigen die Gesetze,,565,
Penumbra,Penombra,Halbschatten,Q7100,7,567,167,3 aprile 1999,1999-04-03,Star Trek: Deep Space Nine,Q11337,17,Penumbra,Q7165351,Penumbra (episode),Im Ungewissen,,567,
'Til Death Do Us Part,Finché morte non ci separi,Bis der Tod uns scheidet,Q120,7,568,168,10 aprile 1999,1999-04-10,Star Trek: Deep Space Nine,Q11337,18,'Til Death Do Us Part,Q4540538,'Til Death Do Us Part (episode),Bis daß der Tod uns scheide,,568,
Strange Bedfellows,Strani compagni di letto,Merkwürdige Bettkameraden,Q8663,7,569,169,17 aprile 1999,1999-04-17,Star Trek: Deep Space Nine,Q11337,19,Strange Bedfellows,Q7621339,Strange Bedfellows (episode),Eine sonderbare Kombination,,569,
The Changing Face of Evil,Il volto mutevole del male,Das wechselnde Gesicht des Bösen,Q9079,7,570,170,24 aprile 1999,1999-04-24,Star Trek: Deep Space Nine,Q11337,20,The Changing Face of Evil,Q7722096,The Changing Face of Evil (episode),Im Angesicht des Bösen,,570,
When it Rains...,Quando piove...,Wenn es regnet...,Q10023,7,571,171,1 maggio 1999,1999-05-01,Star Trek: Deep Space Nine,Q11337,21,When It Rains…,Q7992626,When It Rains... (episode),Ein Unglück kommt selten allein,,571,
Tacking Into the Wind,Navigando contro vento,Fliege mit dem Wind,Q8802,7,572,172,8 maggio 1999,1999-05-08,Star Trek: Deep Space Nine,Q11337,22,Tacking Into the Wind,Q7673930,Tacking Into the Wind (episode),Kampf mit allen Mitteln,,572,
Extreme Measures,Estremi rimedi,Nachtbeben,Q3035,7,573,173,15 maggio 1999,1999-05-15,Star Trek: Deep Space Nine,Q11337,23,Extreme Measures,Q5422355,Extreme Measures (episode),Extreme Maßnahmen,,573,
The Dogs of War,I mastini della guerra,Die Hunde des Krieges,Q9112,7,574,174,22 maggio 1999,1999-05-22,Star Trek: Deep Space Nine,Q11337,24,The Dogs of War,Q7730545,The Dogs of War (episode),In den Wirren des Krieges,,574,
What You Leave Behind - Part I,Quel che si lascia - Prima parte,Was man zurückläßt,Q10018,7,575,175,29 maggio 1999,1999-05-29,Star Trek: Deep Space Nine,Q11337,25,What You Leave Behind - Part I,,,,,,KO
What You Leave Behind - Part II,Quel che si lascia - Seconda parte,Was man zurückläßt,Q10019,7,576,176,29 maggio 1999,1999-05-29,Star Trek: Deep Space Nine,Q11337,26,What You Leave Behind - Part II,,,,,,KO
The Vulcan Hello,Il saluto vulcaniano,,Q9283,1,101,,24 settembre 2017,2017-09-24,Star Trek: Discovery,Q10315,1,The Vulcan Hello,Q40916805,The Vulcan Hello (episode),Leuchtfeuer,,,KO
Battle at the Binary Stars,Battaglia alla stella binaria,,Q1124,1,102,,24 settembre 2017,2017-09-24,Star Trek: Discovery,Q10315,2,Battle at the Binary Stars,Q40925890,Battle at the Binary Stars (episode),Das Urteil (DSC),,,KO
Context Is for Kings,Il contesto è per i re,,Q2011,1,103,,1 ottobre 2017,2017-10-01,Star Trek: Discovery,Q10315,3,Context Is for Kings,Q41524670,Context Is for Kings (episode),Lakaien und Könige,,,KO
The Butcher's Knife Cares Not for the Lamb's Cry,Al coltello del macellaio non interessa il lamento dell'agnello,,Q9075,1,104,,8 ottobre 2017,2017-10-08,Star Trek: Discovery,Q10315,4,The Butcher's Knife Cares Not for the Lamb's Cry,Q42092533,The Butcher's Knife Cares Not for the Lamb's Cry (episode),Sprung,,104,
Choose Your Pain,Scegli il tuo dolore,,Q1771,1,105,,15 ottobre 2017,2017-10-15,Star Trek: Discovery,Q10315,5,Choose Your Pain,Q42092665,Choose Your Pain (episode),Wähle deinen Schmerz,,,KO
Lethe (episodio),Lete,,Q5400,1,106,,15 ottobre 2017,2017-10-15,Star Trek: Discovery,Q10315,6,Lethe,Q42325429,Lethe (episode),Lethe (Episode),,,KO
Magic to Make the Sanest Man Go Mad,Toglie di senno fin anche i più saggi,,Q5834,1,107,,29 ottobre 2017,2017-10-29,Star Trek: Discovery,Q10315,7,Magic to Make the Sanest Man Go Mad,Q42412849,Magic to Make the Sanest Man Go Mad (episode),T=Mudd²,,,KO
"Si Vis Pacem, Para Bellum","Si vis pacem, para bellum",,Q8246,1,108,,5 novembre 2017,2017-11-05,Star Trek: Discovery,Q10315,8,"Si Vis Pacem, Para Bellum",Q42412874,"Si Vis Pacem, Para Bellum (episode)","Si Vis Pacem, Para Bellum",,,KO
Into the Forest I Go,Nella foresta mi addentro,,Q3972,1,109,,12 novembre 2017,2017-11-12,Star Trek: Discovery,Q10315,9,Into the Forest I Go,Q42412896,Into the Forest I Go (episode),Algorithmus (Episode),,,KO
Despite Yourself,Vostro malgrado,,Q2496,1,110,,7 gennaio 2018,2018-01-07,Star Trek: Discovery,Q10315,10,Despite Yourself,Q47146143,Despite Yourself (episode),Nur wegen dir (Episode),,,KO
The Wolf Inside,Il lupo dentro,,Q9291,1,111,,14 gennaio 2018,2018-01-14,Star Trek: Discovery,Q10315,11,The Wolf Inside,Q47390299,The Wolf Inside (episode),Der Wolf im Inneren,,,KO
Vaulting Ambition,Sfrenata ambizione,,Q9810,1,112,,21 gennaio 2018,2018-01-21,Star Trek: Discovery,Q10315,12,Vaulting Ambition,Q47487626,Vaulting Ambition (episode),Blindes Verlangen,,,KO
What's Past Is Prologue,Il passato è il prologo,,Q10020,1,113,,28 gennaio 2018,2018-01-28,Star Trek: Discovery,Q10315,13,What’s Past Is Prologue,Q47519252,What's Past Is Prologue (episode),Auftakt zur Vergangenheit,,,KO
"The War Without, The War Within","La guerra fuori, la guerra dentro",,Q9286,1,114,,4 febbraio 2018,2018-02-04,Star Trek: Discovery,Q10315,14,"The War Without, The War Within",Q47811337,"The War Without, The War Within (episode)",Flucht nach vorn,,,KO
Will You Take My Hand?,Mi prenderai per mano?,,Q10040,1,115,,11 febbraio 2018,2018-02-11,Star Trek: Discovery,Q10315,15,Will You Take My Hand?,Q47908610,Will You Take My Hand? (episode),Nimm meine Hand,,,KO
Brother,Fratello,,Q1452,2,201,,17 gennaio 2019,2019-01-17,Star Trek: Discovery,Q10315,1,Brother,Q56605466,Brother (episode),Bruder (Episode),,,KO
New Eden,Nuovo Eden,,Q6661,2,202,,24 gennaio 2019,2019-01-24,Star Trek: Discovery,Q10315,2,New Eden,Q56605467,New Eden (episode),New Eden (Episode),,,KO
Point of Light,Punto di luce,,Q7239,2,203,,31 gennaio 2019,2019-01-31,Star Trek: Discovery,Q10315,3,Point of Light,Q56605468,Point of Light (episode),Lichtpunkt,,,KO
An Obol for Charon,Un obolo per la Charon,,Q400,2,204,,7 febbraio 2019,2019-02-07,Star Trek: Discovery,Q10315,4,An Obol for Charon,Q56605469,An Obol for Charon (episode),Der Charonspfennig,,,KO
Saints of Imperfection,Santi dell'imperfezione,,Q7953,2,205,,14 febbraio 2019,2019-02-14,Star Trek: Discovery,Q10315,5,Saints of Imperfection,Q56605470,Saints of Imperfection (episode),Alte Bekannte,,,KO
The Sounds of Thunder,Il rumore del tuono,,Q9249,2,206,,21 febbraio 2019,2019-02-21,Star Trek: Discovery,Q10315,6,The Sounds of Thunder,Q56605471,The Sound of Thunder (episode),Donnerhall,,,KO
Light and Shadows,Luci e ombre,,Q5425,2,207,,28 febbraio 2019,2019-02-28,Star Trek: Discovery,Q10315,7,Light and Shadows,Q56605472,Light and Shadows (episode),Licht und Schatten,,,KO
If Memory Serves,Se ricordo bene,,Q11,2,208,,7 marzo 2019,2019-03-07,Star Trek: Discovery,Q10315,8,If Memory Serves,Q56605473,If Memory Serves (episode),Soweit die Erinnerung reicht,,,KO
Project Daedalus,Progetto Dedalo,,Q7293,2,209,,14 marzo 2019,2019-03-14,Star Trek: Discovery,Q10315,9,Project Daedalus,Q56605474,Project Daedalus (episode),Projekt Daedalus (Episode),,,KO
The Red Angel,L'Angelo Rosso,,Q9226,2,210,,21 marzo 2019,2019-03-21,Star Trek: Discovery,Q10315,10,The Red Angel,Q56605475,The Red Angel (episode),Der rote Engel,,,KO
Perpetual Infinity,Perpetua infinità,,Q7105,2,211,,28 marzo 2019,2019-03-28,Star Trek: Discovery,Q10315,11,Perpetual Infinity,Q56605476,Perpetual Infinity (episode),Der Zeitsturm,,,KO
Through the Valley of Shadows,Attraverso la valle delle tenebre,,Q9343,2,212,,4 aprile 2019,2019-04-04,Star Trek: Discovery,Q10315,12,Through the Valley of Shadows,Q56605477,Through the Valley of Shadows (episode),Tal der Schatten,,,KO
Such Sweet Sorrow,Un dolore così dolce,,Q8697,2,213,,11 aprile 2019,2019-04-11,Star Trek: Discovery,Q10315,13,"Such Sweet Sorrow, Part 1",Q56605478,Such Sweet Sorrow (episode),Süße Trauer,,,KO
"Such Sweet Sorrow, Part 2",Un dolore così dolce: Parte 2,,Q8698,2,214,,18 aprile 2019,2019-04-18,Star Trek: Discovery,Q10315,14,"Such Sweet Sorrow, Part 2",Q63112977,"Such Sweet Sorrow, Part 2 (episode)","Süße Trauer, Teil II",,,KO
"That Hope Is You, Part 1","Quella speranza sei tu, parte 1",,Q3165,3,301,,15 ottobre 2020,2020-10-15,Star Trek: Discovery,Q10315,1,"That Hope Is You, Part 1",Q63113959,"That Hope Is You, Part 1 (episode)","Ein Zeichen der Hoffnung, Teil 1",,,KO
Far From Home,Lontano da casa,,Q45,3,302,,22 ottobre 2020,2020-10-22,Star Trek: Discovery,Q10315,2,Far From Home,Q89098405,Far From Home (episode),Fern der Heimat,Lontano da casa (episodio),,KO
People of Earth,Popolo della Terra,,Q41,3,303,,29 ottobre 2020,2020-10-29,Star Trek: Discovery,Q10315,3,People of Earth,Q89098416,People of Earth (episode),Bewohner der Erde,,,KO
Forget Me Not,Non ti scordar di me,,Q54,3,304,,5 novembre 2020,2020-11-05,Star Trek: Discovery,Q10315,4,Forget Me Not,Q100327253,Forget Me Not (episode),Vergiss mich nicht,,,KO
Die Trying,Provarci fino alla morte,,Q4285,3,305,,12 novembre 2020,2020-11-12,Star Trek: Discovery,Q10315,5,Die Trying,Q100327254,Die Trying (episode),Die Bewährungsprobe,,,KO
Scavengers,Sfruttatori,,Q6671,3,306,,19 novembre 2020,2020-11-19,Star Trek: Discovery,Q10315,6,Scavengers,Q100327258,Scavengers (episode),Aasgeier (Episode),,,KO
Unification III,Unificazione III,,Q7909,3,307,,26 novembre 2020,2020-11-26,Star Trek: Discovery,Q10315,7,Unification III,Q100327260,Unification III (episode),Wiedervereinigung Teil III,,,KO
The Sanctuary,Il Rifugio,,Q8574,3,308,,3 dicembre 2020,2020-12-03,Star Trek: Discovery,Q10315,8,The Sanctuary,Q100327261,The Sanctuary (episode),Das Schutzgebiet,,,KO
"Terra Firma, Part 1",Terraferma: Parte 1,,Q10313,3,309,,10 dicembre 2020,2020-12-10,Star Trek: Discovery,Q10315,9,"Terra Firma, Part I",Q100327263,"Terra Firma, Part I (episode)","Terra Firma, Teil 1",,,KO
"Terra Firma, Part 2",Terraferma: Parte 2,,Q10316,3,310,,17 dicembre 2020,2020-12-17,Star Trek: Discovery,Q10315,10,"Terra Firma, Part II",Q100327265,"Terra Firma, Part II (episode)","Terra Firma, Teil 2",,,KO
Su'Kal,Su'Kal,,Q10331,3,311,,24 dicembre 2020,2020-12-24,Star Trek: Discovery,Q10315,11,Su'Kal,Q100327266,Su'Kal (episode),Su'Kal (Episode),,,KO
There Is A Tide…,C'è una marea…,,Q10338,3,312,,31 dicembre 2020,2020-12-31,Star Trek: Discovery,Q10315,12,There Is a Tide...,Q100327272,There Is A Tide... (episode),Es gibt Gezeiten...,,,KO
"That Hope Is You, Part 2",Quella speranza sei tu: Parte 2,,Q10349,3,313,,7 gennaio 2021,2021-01-07,Star Trek: Discovery,Q10315,13,"That Hope Is You, Part 2",Q100327279,"That Hope Is You, Part 2 (episode)","Ein Zeichen der Hoffnung, Teil 2",,,KO
